member_id,group,role,N_N,FS_min,FS_min_label,governing_mode,report_mode,suggested_action,priority
173,bottom_bracing,stabilizer,-0.3641737294822922,8.229687641334818,8.230,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
174,top_bracing,stabilizer,0.3641737294826103,1938.8515503387405,1938.852,tension_capacity,tension_capacity,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
175,bottom_bracing,stabilizer,5.724443940456469,123.34452172898683,123.345,tension_capacity,tension_capacity,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
176,top_bracing,stabilizer,-5.822526506330321,0.4975355942273236,0.498,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
177,bottom_bracing,stabilizer,10.589138854867006,66.67952981610685,66.680,tension_capacity,tension_capacity,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
178,top_bracing,stabilizer,-10.77057305530366,0.2689656502357501,0.269,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
179,bottom_bracing,stabilizer,11.91749234530947,59.24726272451949,59.247,tension_capacity,tension_capacity,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
180,top_bracing,stabilizer,-12.121686541316882,0.2389860664485292,0.239,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
181,bottom_bracing,stabilizer,12.11982243359797,58.258180255400724,58.258,tension_capacity,tension_capacity,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
182,top_bracing,stabilizer,-12.327483351337298,0.23499639810238626,0.235,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
183,bottom_bracing,stabilizer,12.542199189802565,56.29625150380942,56.296,tension_capacity,tension_capacity,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
184,top_bracing,stabilizer,-12.542199189801837,0.2389561826809563,0.239,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
185,bottom_bracing,stabilizer,12.916024604946124,54.666882542915786,54.667,tension_capacity,tension_capacity,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
186,top_bracing,stabilizer,-12.916024604945587,0.2320401309603928,0.232,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
187,bottom_bracing,stabilizer,12.915979212979126,54.667074664417946,54.667,tension_capacity,tension_capacity,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
188,top_bracing,stabilizer,-12.915979212978288,0.23204094644312648,0.232,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
189,bottom_bracing,stabilizer,12.542070954801654,56.29682709853289,56.297,tension_capacity,tension_capacity,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
190,top_bracing,stabilizer,-12.542070954800922,0.23895862586170494,0.239,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
191,bottom_bracing,stabilizer,12.11959524011367,58.25927236109394,58.259,tension_capacity,tension_capacity,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
192,top_bracing,stabilizer,-12.327252265122073,0.2350008033361773,0.235,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
193,bottom_bracing,stabilizer,11.916999991242037,59.24971054115187,59.250,tension_capacity,tension_capacity,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
194,top_bracing,stabilizer,-12.121185751259402,0.23899594022230097,0.239,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
195,bottom_bracing,stabilizer,10.58828025998754,66.68493680397074,66.685,tension_capacity,tension_capacity,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
196,top_bracing,stabilizer,-10.769699749267668,0.26898746043764005,0.269,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
197,bottom_bracing,stabilizer,5.723612633644951,123.36243648801054,123.362,tension_capacity,tension_capacity,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
198,top_bracing,stabilizer,-5.821680955915745,0.49760785710657623,0.498,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
199,bottom_bracing,stabilizer,-0.3562652453693058,8.4123727469192,8.412,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
200,top_bracing,stabilizer,0.3562652453699574,1981.8907658724465,1981.891,tension_capacity,tension_capacity,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
201,cross_frame_bracing,stabilizer,0.14368292034006144,4914.145664139402,4914.146,tension_capacity,tension_capacity,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
202,cross_frame_bracing,stabilizer,-0.1981706677043741,17.162855076449127,17.163,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
203,cross_frame_bracing,stabilizer,-11.054325427452873,0.3076781548122946,0.308,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
204,cross_frame_bracing,stabilizer,-5.338878023664372,0.6370579052635693,0.637,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
205,cross_frame_bracing,stabilizer,-13.221491994360738,0.21506871675224687,0.215,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
206,cross_frame_bracing,stabilizer,-8.227213723135186,0.34562482663859506,0.346,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
207,cross_frame_bracing,stabilizer,-12.735467779126205,0.18159354032509978,0.182,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
208,cross_frame_bracing,stabilizer,-11.223292982135698,0.20606061744880871,0.206,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
209,cross_frame_bracing,stabilizer,-12.404073041746344,0.15035574732309034,0.150,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
210,cross_frame_bracing,stabilizer,-12.147586678569017,0.15353038602575086,0.154,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
211,cross_frame_bracing,stabilizer,-12.295549298078614,0.12266315687944651,0.123,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
212,cross_frame_bracing,stabilizer,-11.700140898797263,0.12890536152639193,0.129,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
213,cross_frame_bracing,stabilizer,-21.85960489021475,0.06899534095167119,0.069,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
214,cross_frame_bracing,stabilizer,-21.33263746416224,0.07069969172836242,0.071,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
215,cross_frame_bracing,stabilizer,-14.397382124463405,0.10475591183389507,0.105,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
216,cross_frame_bracing,stabilizer,-14.397446111787904,0.10475544626170459,0.105,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
217,cross_frame_bracing,stabilizer,-21.33257907383066,0.07069988524356882,0.071,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
218,cross_frame_bracing,stabilizer,-21.8596632805468,0.06899515665510557,0.069,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
219,cross_frame_bracing,stabilizer,-11.70007114979801,0.12890612998496365,0.129,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
220,cross_frame_bracing,stabilizer,-12.295619047078524,0.12266246105173052,0.123,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
221,cross_frame_bracing,stabilizer,-12.14741861144115,0.15353251021458847,0.154,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
222,cross_frame_bracing,stabilizer,-12.40424110887423,0.15035371012803814,0.150,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
223,cross_frame_bracing,stabilizer,-11.22308452101082,0.2060644448839515,0.206,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
224,cross_frame_bracing,stabilizer,-12.735676240251147,0.18159056795103937,0.182,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
225,cross_frame_bracing,stabilizer,-8.227227730612292,0.345624238186202,0.346,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
226,cross_frame_bracing,stabilizer,-13.221477986883697,0.21506894460650908,0.215,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
227,cross_frame_bracing,stabilizer,-5.3429800890310055,0.6365688049625808,0.637,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
228,cross_frame_bracing,stabilizer,-11.050223362086259,0.3077923711373013,0.308,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
229,cross_frame_bracing,stabilizer,-0.16721490674015377,20.34013902539586,20.340,buckling_y,travamento: compressão deve ser interpretada com cautela,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
230,cross_frame_bracing,stabilizer,0.1672149067399956,4222.582865162196,4222.583,tension_capacity,tension_capacity,manter como travamento/tension-only; não dimensionar como coluna comprimida,interpretation
